Chalcosoma chiron,4,モーレンカンプオオカブト,アトラスオオカブト,エンガノオオカブト,コーカサスオオカブト
Chalcosoma atlas,1,アトラスオオカブト,モーレンカンプオオカブト,エンガノオオカブト,コーカサスオオカブト
Chalcosoma moellenkampi,4,コーカサスオオカブト,エンガノオオカブト,アトラスオオカブト,モーレンカンプオオカブト
Chalcosoma engganensis,1,エンガノオオカブト,アトラスオオカブト,モーレンカンプオオカブト,コーカサスオオカブト
Augosoma centaurus,2,ヒメカブト,ケンタウルスオオカブト,エンドウゴホンヅノカブト,ニセケンタウルスオオカブト
Augosoma hippocrates,4,ケンタウルスオオカブト,ヒメカブト,エンドウゴホンヅノカブト,ニセケンタウルスオオカブト
Eupatorus gracilicornis,3,カチンゴホンツノカブト,エンドウゴホンヅノカブト,ゴホンツノカブト,タイゴホンツノカブト
Eupatorus sukkiti,1,カチンゴホンツノカブト,タイゴホンツノカブト,ゴホンツノカブト,ニセケンタウルスオオカブト
Eupatorus siamensis,1,タイゴホンツノカブト,トゲヒメカブト,ビルマゴホンツノカブト,ゴホンツノカブト
Eupatorus birmanicus,1,ビルマゴホンツノカブト,タイゴホンツノカブト,トゲヒメカブト,カチンゴホンツノカブト
Eupatorus endoi,2,ビルマゴホンツノカブト,エンドウゴホンヅノカブト,カチンゴホンツノカブト,ゴホンツノカブト
Xylotrupes gideon,1,ヒメカブト,コツノヒメカブト,ビルマゴホンツノカブト,ニセケンタウルスオオカブト
Xylotrupes pubescens,4,ハビロヒメカブト,マンディブラリスミツノサイカブト,コツノヒメカブト,ケブカヒメカブト
Xylotrupes florensis,4,パンカブト,サビイロカブト,コツノヒメカブト,トゲヒメカブト
Xylotrupes beckeri,1,ハビロヒメカブト,サビイロカブト,ヒメカブト,ヒルトゥスヘラヅノカブト
Xylotrupes pauliani,4,パンカブト,ケブカヒメカブト,マンディブラリスミツノサイカブト,コツノヒメカブト
Trypoxylus dichotomus,1,カブトムシ,サビイロカブト,ハビロヒメカブト,ヒルトゥスヘラヅノカブト
Allomyrina pfeifferi,3,カブトムシ,ハビロヒメカブト,サビイロカブト,ハビロヒメカブト
Oryctes rhinoceros,2,パンカブト,サイカブト,ケブカヒメカブト,ヒルトゥスヘラヅノカブト
Enema pan,1,パンカブト,カブトムシ,ケブカヒメカブト,ケンタウルスオオカブト
Strategus mandibularis,3,トゲヒメカブト,ハビロヒメカブト,マンディブラリスミツノサイカブト,ケンタウルスオオカブト
Heterogomphus hirtus,1,ヒルトゥスヘラヅノカブト,カブトムシ,ハビロヒメカブト,マンディブラリスミツノサイカブト
